model_type,seed,intervention,selected_score,top1_regret,mean_selected_candidate_rank,pairwise_ranking_accuracy,kendall_tau,oracle_capture_mean,oracle_capture_median,oracle_capture_q25,oracle_capture_q75,oracle_capture_fraction_gt_0,oracle_capture_fraction_ge_0_5,hard_false_safe_rate,direction_non_compliance_rate,ddc_half_rate,ddc_zero_rate,zero_score_selection_rate,wote_failure_recovery_rate
wote_environment_only,0,none,0.6388430595397949,0.24807170033454895,18.06640625,0.8701533819461906,0.5401225236081101,-0.43269825051823296,0.5329622626304626,-0.039533063769340515,0.8033925890922546,0.6806387225548902,0.5329341317365269,0.13671875,0.21875,0.21484375,0.00390625,0.056640625,0.8387096774193549
wote_environment_only,1,none,0.6591922044754028,0.22772246599197388,14.494140625,0.8697830000378282,0.5403106761610506,-1.2966839818966143,0.5790523290634155,0.0,0.8873618245124817,0.7305389221556886,0.5508982035928144,0.140625,0.21484375,0.212890625,0.001953125,0.060546875,0.8064516129032258
wote_environment_only,2,none,0.5309492349624634,0.3559655249118805,20.314453125,0.8686048762686331,0.5386033831595248,-1.0203817517353828,0.022049838677048683,-0.04818650335073471,0.478471040725708,0.5728542914171657,0.24550898203592814,0.109375,0.578125,0.56640625,0.01171875,0.04296875,0.7741935483870968
wote_base_selector,-1,none,0.5032623410224915,0.38365238904953003,25.2109375,,,0.0,0.0,0.0,0.0,0.0,0.0,0.08203125,0.64453125,0.6171875,0.02734375,0.060546875,0.0
full_primitive_action_effect,0,full_effect_swap,0.6594483852386475,0.22746631503105164,14.09375,0.8676147805634611,0.537150569751517,-1.0598545265961448,0.5545492768287659,0.0,0.8604595065116882,0.7125748502994012,0.530938123752495,0.134765625,0.18359375,0.181640625,0.001953125,0.060546875,0.7741935483870968
full_primitive_action_effect,0,actor_only_swap,0.6571953296661377,0.2297193706035614,14.162109375,0.867521545345916,0.5370994961714859,-1.07544974501834,0.556189775466919,0.0,0.8586293458938599,0.7125748502994012,0.530938123752495,0.13671875,0.18359375,0.181640625,0.001953125,0.064453125,0.7741935483870968
full_primitive_action_effect,0,static_only_swap,0.6711472272872925,0.21576744318008423,13.8671875,0.8754801391185155,0.5478653854215125,-0.7176086173631356,0.5826819539070129,0.0,0.8787678480148315,0.7105788423153693,0.5508982035928144,0.130859375,0.17578125,0.171875,0.00390625,0.056640625,0.7419354838709677
full_primitive_action_effect,0,scene_mean_effect,0.65770423412323,0.22921046614646912,15.1328125,0.8735168591080127,0.5450104453934335,-1.4638176123277487,0.6119828820228577,-0.0014259774470701814,0.8787678480148315,0.7045908183632734,0.5568862275449101,0.158203125,0.171875,0.169921875,0.001953125,0.06640625,0.7741935483870968
full_primitive_action_effect,1,full_effect_swap,0.6738297343254089,0.21308492124080658,13.8046875,0.8700580328036653,0.5403859771582156,-0.7677511064859224,0.6119828820228577,0.0,0.8681809306144714,0.7305389221556886,0.5768463073852296,0.1328125,0.19140625,0.189453125,0.001953125,0.05078125,0.9032258064516129
full_primitive_action_effect,1,actor_only_swap,0.674252986907959,0.2126617282629013,13.42578125,0.8697639747130068,0.5400606539952442,-0.7398507894698099,0.5960887670516968,0.0,0.8694477081298828,0.7305389221556886,0.5728542914171657,0.1328125,0.185546875,0.185546875,0.0,0.048828125,0.9032258064516129
full_primitive_action_effect,1,static_only_swap,0.6810610294342041,0.20585370063781738,12.2890625,0.8786024063141826,0.5519852361513924,-0.7261923089784481,0.6217620968818665,0.0,0.8895601034164429,0.7465069860279441,0.5868263473053892,0.123046875,0.1796875,0.1796875,0.0,0.05078125,0.8709677419354839
full_primitive_action_effect,1,scene_mean_effect,0.6750243902206421,0.2118903398513794,13.099609375,0.8764918191103268,0.5488412913986498,-0.5973537153640609,0.6238760352134705,0.02264096587896347,0.8831193447113037,0.7564870259481038,0.6027944111776448,0.14453125,0.1640625,0.162109375,0.001953125,0.060546875,0.9032258064516129
full_primitive_action_effect,2,full_effect_swap,0.5250107645988464,0.36190393567085266,20.66015625,0.8633393116615228,0.5313055864145004,-1.372482219720807,0.019098661839962006,-0.06689021736383438,0.45780453085899353,0.5728542914171657,0.2375249500998004,0.12109375,0.580078125,0.5625,0.017578125,0.05859375,0.7096774193548387
full_primitive_action_effect,2,actor_only_swap,0.5275628566741943,0.35935184359550476,20.658203125,0.863264656731961,0.5312158777384026,-1.186685275447393,0.02292567677795887,-0.04570217430591583,0.47875604033470154,0.5848303393213573,0.23952095808383234,0.12890625,0.587890625,0.572265625,0.015625,0.0546875,0.7419354838709677
full_primitive_action_effect,2,static_only_swap,0.5306693911552429,0.35624533891677856,19.921875,0.8741484776402366,0.5458705258762234,-1.0420846996686792,0.028236009180545807,-0.04036552459001541,0.49103590846061707,0.6067864271457086,0.24550898203592814,0.130859375,0.578125,0.5625,0.015625,0.048828125,0.7096774193548387
full_primitive_action_effect,2,scene_mean_effect,0.5229131579399109,0.3640015721321106,20.8515625,0.8722087845821438,0.5431285825666424,-0.9499155474538299,0.02629876509308815,-0.05064687505364418,0.45681267976760864,0.592814371257485,0.22954091816367264,0.1484375,0.583984375,0.5703125,0.013671875,0.046875,0.7096774193548387
