model_type,seed,factor,mae,brier,auc,strict_compliance_auc,violation_auc
wote_full_future,0,TTC,0.10452147573232651,0.05524071305990219,0.9783295238791192,,
wote_full_future,0,Comfort,0.005287855863571167,0.0030477927066385746,0.9999343106951306,,
wote_full_future,1,NC,0.10277493298053741,0.04498201608657837,0.9763106009688063,,
wote_full_future,1,DAC,0.04547707363963127,0.024862095713615417,0.9959433951290154,,
wote_full_future,1,DDC,0.1643533855676651,0.04607166349887848,,0.8852486444887818,0.8852486444887817
wote_full_future,1,EP,0.07003025710582733,0.018539244309067726,,,
wote_full_future,1,TTC,0.11208236217498779,0.056910645216703415,0.9772974651807534,,
wote_full_future,1,Comfort,0.007321679499000311,0.0037229396402835846,0.9998565866162061,,
wote_full_future,2,NC,0.10738465189933777,0.046007007360458374,0.9772147231396098,,
wote_full_future,2,DAC,0.04638199135661125,0.02386193722486496,0.9963771615281587,,
wote_full_future,2,DDC,0.17440584301948547,0.05290639400482178,,0.8810908681687153,0.8810908681687153
wote_full_future,2,EP,0.07589904963970184,0.019175991415977478,,,
wote_full_future,2,TTC,0.11926238238811493,0.05851525440812111,0.9757754207339319,,
wote_full_future,2,Comfort,0.008798349648714066,0.0036048300098627806,0.9998283117248177,,
wote_environment_only,0,NC,0.13932350277900696,0.06555932015180588,0.9583103531074664,,
wote_environment_only,0,DAC,0.11003194004297256,0.05880817025899887,0.9786313129213884,,
wote_environment_only,0,DDC,0.1684945821762085,0.049793943762779236,,0.8763478261566886,0.8763478261566886
wote_environment_only,0,EP,0.09578680247068405,0.02696668915450573,,,
wote_environment_only,0,TTC,0.16147150099277496,0.08731884509325027,0.9519834857448104,,
wote_environment_only,0,Comfort,0.024389155209064484,0.009462378919124603,0.9993405848027158,,
wote_environment_only,1,NC,0.13526012003421783,0.06323859095573425,0.9586975120954475,,
wote_environment_only,1,DAC,0.09917425364255905,0.05734121426939964,0.9812880028395058,,
wote_environment_only,1,DDC,0.1727631390094757,0.05129772797226906,,0.8731213099675383,0.8731213099675383
wote_environment_only,1,EP,0.09787432104349136,0.028500787913799286,,,
wote_environment_only,1,TTC,0.15774130821228027,0.08203142881393433,0.9558365585146527,,
wote_environment_only,1,Comfort,0.018125314265489578,0.00869530439376831,0.9993861564341472,,
wote_environment_only,2,NC,0.1738962084054947,0.07872722297906876,0.9447897652885386,,
wote_environment_only,2,DAC,0.12829884886741638,0.0623663105070591,0.9749514236804266,,
wote_environment_only,2,DDC,0.17341747879981995,0.05156259983778,,0.8652313835730538,0.8652313835730538
wote_environment_only,2,EP,0.10676570236682892,0.029528774321079254,,,
wote_environment_only,2,TTC,0.2051687389612198,0.10127381980419159,0.9352861604916527,,
wote_environment_only,2,Comfort,0.027832919731736183,0.011670875363051891,0.9987739179680671,,
