model_type,seed,intervention,selected_score,top1_regret,mean_selected_candidate_rank,pairwise_ranking_accuracy,kendall_tau,oracle_capture_mean,oracle_capture_median,oracle_capture_q25,oracle_capture_q75,oracle_capture_fraction_gt_0,oracle_capture_fraction_ge_0_5,hard_false_safe_rate,direction_non_compliance_rate,ddc_half_rate,ddc_zero_rate,zero_score_selection_rate,wote_failure_recovery_rate
wote_full_future,2,none,0.5370461344718933,0.3498685657978058,17.2734375,0.8908669540121184,0.569455875292042,-1.0610072655984835,0.05543260648846626,0.0,0.5109545588493347,0.6966067864271457,0.2554890219560878,0.052734375,0.646484375,0.625,0.021484375,0.0390625,0.6774193548387096
wote_environment_only,0,none,0.4602543115615845,0.426660418510437,30.185546875,0.8564268882356737,0.5210532362325341,-2.3373155352511166,0.0,-0.36281633377075195,0.20266331732273102,0.4351297405189621,0.16367265469061876,0.177734375,0.634765625,0.6015625,0.033203125,0.07421875,0.7419354838709677
wote_environment_only,1,none,0.4967387318611145,0.390175998210907,27.28125,0.8543403330210658,0.5190103069101186,-1.5357386814022553,0.0,-0.15327289700508118,0.20464973151683807,0.4491017964071856,0.16966067864271456,0.10546875,0.625,0.595703125,0.029296875,0.0546875,0.7096774193548387
wote_environment_only,2,none,0.4624393582344055,0.4244753122329712,35.84765625,0.835307665091978,0.4921055887761143,-1.647970637344098,-0.03639952093362808,-0.4180116355419159,0.1880842000246048,0.36726546906187624,0.16966067864271456,0.189453125,0.58984375,0.546875,0.04296875,0.0859375,0.6129032258064516
wote_base_selector,-1,none,0.5032623410224915,0.38365238904953003,25.2109375,,,0.0,0.0,0.0,0.0,0.0,0.0,0.08203125,0.64453125,0.6171875,0.02734375,0.060546875,0.0
full_primitive_action_effect,0,full_effect_swap,0.4120326042175293,0.4748820960521698,41.248046875,0.7892724982810452,0.42682584373814075,-2.6337697371928077,-0.07353699952363968,-0.6862431168556213,0.050321269780397415,0.32934131736526945,0.1377245508982036,0.240234375,0.6328125,0.607421875,0.025390625,0.130859375,0.6451612903225806
full_primitive_action_effect,0,actor_only_swap,0.4532053470611572,0.43370938301086426,37.333984375,0.817207238079132,0.46793550367059694,-2.1548129500621513,-0.05444024130702019,-0.5073204636573792,0.05085345730185509,0.3313373253493014,0.15568862275449102,0.158203125,0.625,0.58984375,0.03515625,0.08984375,0.6451612903225806
full_primitive_action_effect,0,static_only_swap,0.44278383255004883,0.44413089752197266,37.7265625,0.8070224587840259,0.45183179581382205,-2.380279803064191,-0.04412814974784851,-0.5269667506217957,0.1138911023736,0.35728542914171657,0.15568862275449102,0.19921875,0.611328125,0.587890625,0.0234375,0.09375,0.6774193548387096
full_primitive_action_effect,0,scene_mean_effect,0.41768527030944824,0.46922945976257324,39.986328125,0.8174856086212536,0.4669377962163518,-2.1067393372103616,-0.06267759948968887,-0.6337966322898865,0.01400661375373602,0.29740518962075846,0.12574850299401197,0.197265625,0.658203125,0.638671875,0.01953125,0.087890625,0.6451612903225806
full_primitive_action_effect,1,full_effect_swap,0.44452300667762756,0.4423917233943939,32.73828125,0.7964460470715463,0.43670785500007003,-1.937081021171641,-0.0173101257532835,-0.5142269134521484,0.07168484479188919,0.3932135728542914,0.14171656686626746,0.2109375,0.64453125,0.60546875,0.0390625,0.1171875,0.6451612903225806
full_primitive_action_effect,1,actor_only_swap,0.4751273989677429,0.41178733110427856,27.0546875,0.8338437164136261,0.49016262148196793,-1.8241001043489393,0.0,-0.2760336697101593,0.20560277998447418,0.469061876247505,0.18962075848303392,0.177734375,0.60546875,0.57421875,0.03125,0.111328125,0.5161290322580645
full_primitive_action_effect,1,static_only_swap,0.4527832865715027,0.4341314435005188,31.0859375,0.8254400858031024,0.4771569779379459,-1.8732822445598143,-0.010097240097820759,-0.45997321605682373,0.10024422407150269,0.4111776447105788,0.1497005988023952,0.185546875,0.65625,0.62109375,0.03515625,0.091796875,0.6129032258064516
full_primitive_action_effect,1,scene_mean_effect,0.4574723243713379,0.429442435503006,33.314453125,0.83806655970948,0.49519104694924254,-1.5779355411044138,-0.03047271817922592,-0.3780064880847931,0.2918698787689209,0.36926147704590817,0.19760479041916168,0.193359375,0.615234375,0.59375,0.021484375,0.09375,0.6774193548387096
full_primitive_action_effect,2,full_effect_swap,0.44421714544296265,0.44269755482673645,33.576171875,0.7880641120068713,0.4244074346185887,-1.9209035266686985,-0.016279075294733047,-0.49451005458831787,0.083785779774189,0.3912175648702595,0.14570858283433133,0.216796875,0.638671875,0.60546875,0.033203125,0.107421875,0.6129032258064516
full_primitive_action_effect,2,actor_only_swap,0.46531516313552856,0.4215995669364929,28.546875,0.8328648578886118,0.4890588329669675,-1.978303777662751,0.0,-0.31413957476615906,0.20610277354717255,0.4630738522954092,0.17564870259481039,0.1796875,0.62890625,0.599609375,0.029296875,0.11328125,0.6451612903225806
full_primitive_action_effect,2,static_only_swap,0.46237054467201233,0.42454415559768677,30.4453125,0.8197245889528506,0.4690476239710264,-1.736907284235012,-0.00037446271744556725,-0.29480013251304626,0.08768398314714432,0.4231536926147705,0.13373253493013973,0.1796875,0.63671875,0.603515625,0.033203125,0.091796875,0.5806451612903226
full_primitive_action_effect,2,scene_mean_effect,0.4387412369251251,0.44817349314689636,35.419921875,0.835252146746447,0.49140564233925277,-2.1575929051798517,-0.0381530225276947,-0.40438181161880493,0.12836794555187225,0.3772455089820359,0.1596806387225549,0.1875,0.65234375,0.625,0.02734375,0.08203125,0.7419354838709677
