model,split,feature,horizon_s,channel,statistic,support,truth_std,mae,rmse,normalized_rmse,r2,spearman
extra_trees,outer_train_oof,C_environment_only_h2s_relative_lateral_velocity_std,2.0,relative_lateral_velocity,std,19404,0.030105069279670715,0.010848989710211754,0.015003552660346031,0.49837348992443564,0.7516243690929658,0.8720650687236187
extra_trees,outer_train_oof,C_environment_only_h2s_relative_lateral_velocity_min,2.0,relative_lateral_velocity,min,19404,0.16388505697250366,0.0785113051533699,0.11108759045600891,0.6778158779019623,0.540535118297577,0.6543027793206662
extra_trees,outer_train_oof,C_environment_only_h2s_relative_lateral_velocity_max,2.0,relative_lateral_velocity,max,19404,0.1567826271057129,0.06903684884309769,0.09886115789413452,0.6305285028732961,0.6023915841784473,0.6892437760396084
extra_trees,outer_train_oof,C_environment_only_h2s_relative_lateral_velocity_q10,2.0,relative_lateral_velocity,q10,19404,0.03807714581489563,0.007973055355250835,0.02985893376171589,0.784244930076225,0.3850782688983192,0.32441724180098724
extra_trees,outer_train_oof,C_environment_only_h2s_relative_lateral_velocity_q90,2.0,relative_lateral_velocity,q90,19404,0.02669963613152504,0.006296755280345678,0.023340392857789993,0.8742705387446645,0.23580253052989986,0.2954381604924149
extra_trees,outer_train_oof,C_environment_only_h2s_relative_lateral_velocity_nonzero_fraction,2.0,relative_lateral_velocity,nonzero_fraction,19404,0.03470874950289726,0.01364058069884777,0.018251551315188408,0.5258495612986265,0.7234831207516057,0.8479279377883523
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_clearance_mean,2.0,dynamic_clearance,mean,19404,0.1867709755897522,0.07258511334657669,0.10106977820396423,0.5411424192025561,0.7071643903370679,0.8647703593661396
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_clearance_std,2.0,dynamic_clearance,std,19404,0.06855206936597824,0.04078677296638489,0.05346982926130295,0.7799885511237321,0.3916178944586548,0.6536442584168726
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_clearance_min,2.0,dynamic_clearance,min,19404,0.1317717581987381,0.026445142924785614,0.10650113224983215,0.8081827718347484,0.3467735476600651,0.34394667176655397
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_clearance_max,2.0,dynamic_clearance,max,19404,0.17759881913661957,0.09449374675750732,0.12048134207725525,0.6783840139184506,0.5397864195004105,0.7360120884921278
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_clearance_q10,2.0,dynamic_clearance,q10,19404,0.1534867137670517,0.04678690433502197,0.10197063535451889,0.6643646068238225,0.5586241362814509,0.8670409522469099
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_clearance_q90,2.0,dynamic_clearance,q90,19404,0.2310030162334442,0.11272487789392471,0.1379818171262741,0.5973102277296917,0.6432135037454978,0.8081359460317943
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_clearance_nonzero_fraction,2.0,dynamic_clearance,nonzero_fraction,19404,0.03401101753115654,0.013462712056934834,0.0179702527821064,0.5283675420850342,0.7208297258183802,0.8456194777188207
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_collision_field_mean,2.0,dynamic_collision_field,mean,19404,0.17084166407585144,0.06287320703268051,0.0806773230433464,0.4722343896969139,0.7769946082517948,0.8840328090632168
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_collision_field_std,2.0,dynamic_collision_field,std,19404,0.11718713492155075,0.04443280026316643,0.06580474227666855,0.5615343005803558,0.684677823042847,0.8560824617942723
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_collision_field_min,2.0,dynamic_collision_field,min,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_collision_field_max,2.0,dynamic_collision_field,max,19404,0.17518547177314758,0.04349793493747711,0.1503053456544876,0.8580228173301058,0.2638731842034492,0.25701743982198516
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_collision_field_q10,2.0,dynamic_collision_field,q10,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_collision_field_q90,2.0,dynamic_collision_field,q90,19404,0.3787989914417267,0.1574254184961319,0.2677049934864044,0.7067187814087895,0.5005462289503945,0.5824774672350803
extra_trees,outer_train_oof,C_environment_only_h2s_dynamic_collision_field_nonzero_fraction,2.0,dynamic_collision_field,nonzero_fraction,19404,0.17084166407585144,0.06287320703268051,0.0806773230433464,0.4722343896969139,0.7769946082517948,0.8840328090632168
extra_trees,outer_train_oof,C_environment_only_h4s_candidate_relative_dynamic_occupancy_mean,4.0,candidate_relative_dynamic_occupancy,mean,19404,0.03597848117351532,0.015477648004889488,0.020266911014914513,0.5633085055547992,0.6826858172908604,0.8175926274705484
extra_trees,outer_train_oof,C_environment_only_h4s_candidate_relative_dynamic_occupancy_std,4.0,candidate_relative_dynamic_occupancy,std,19404,0.07890394330024719,0.03544407710433006,0.04474692419171333,0.5671066320866015,0.6783904653502445,0.8202350161253746
extra_trees,outer_train_oof,C_environment_only_h4s_candidate_relative_dynamic_occupancy_min,4.0,candidate_relative_dynamic_occupancy,min,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h4s_candidate_relative_dynamic_occupancy_max,4.0,candidate_relative_dynamic_occupancy,max,19404,0.12833000719547272,0.024945776909589767,0.11447825282812119,0.8921949920518345,0.20422644833869208,0.19234742474889785
extra_trees,outer_train_oof,C_environment_only_h4s_candidate_relative_dynamic_occupancy_q10,4.0,candidate_relative_dynamic_occupancy,q10,19404,0.0,0.0,0.0,0.0,,
extra_trees,outer_train_oof,C_environment_only_h4s_candidate_relative_dynamic_occupancy_q90,4.0,candidate_relative_dynamic_occupancy,q90,19404,0.28284791111946106,0.10062245279550552,0.21633930504322052,0.7649163397738257,0.41498789253386226,0.4321269357451441
extra_trees,outer_train_oof,C_environment_only_h4s_candidate_relative_dynamic_occupancy_nonzero_fraction,4.0,candidate_relative_dynamic_occupancy,nonzero_fraction,19404,0.03597848117351532,0.015477648004889488,0.020266911014914513,0.5633085055547992,0.6826858172908604,0.8175926274705484
extra_trees,outer_train_oof,C_environment_only_h4s_relative_longitudinal_velocity_mean,4.0,relative_longitudinal_velocity,mean,19404,0.008255756460130215,0.0039855013601481915,0.005742308683693409,0.6955537405818469,0.5162072511618421,0.7560991583047616
extra_trees,outer_train_oof,C_environment_only_h4s_relative_longitudinal_velocity_std,4.0,relative_longitudinal_velocity,std,19404,0.030702408403158188,0.016118066385388374,0.02121664583683014,0.6910438817657686,0.5224612745131737,0.7067998758245143
extra_trees,outer_train_oof,C_environment_only_h4s_relative_longitudinal_velocity_min,4.0,relative_longitudinal_velocity,min,19404,0.19023095071315765,0.1100313737988472,0.16952739655971527,0.8911584677589283,0.20582277740710164,0.4688376384905362
extra_trees,outer_train_oof,C_environment_only_h4s_relative_longitudinal_velocity_max,4.0,relative_longitudinal_velocity,max,19404,0.2349378764629364,0.12116339057683945,0.15412409603595734,0.6560172279243276,0.569636920327159,0.7575955642483663
extra_trees,outer_train_oof,C_environment_only_h4s_relative_longitudinal_velocity_q10,4.0,relative_longitudinal_velocity,q10,19404,0.005653723143041134,0.0007069712155498564,0.005585907492786646,0.9878091390201345,0.0238458318265109,0.2040725337621347
extra_trees,outer_train_oof,C_environment_only_h4s_relative_longitudinal_velocity_q90,4.0,relative_longitudinal_velocity,q90,19404,0.01598552241921425,0.002723997924476862,0.014684315770864487,0.9186592689932445,0.15617228126009186,0.2461301839013219
extra_trees,outer_train_oof,C_environment_only_h4s_relative_longitudinal_velocity_nonzero_fraction,4.0,relative_longitudinal_velocity,nonzero_fraction,19404,0.03494792804121971,0.016629382967948914,0.022558337077498436,0.6454800516430304,0.5833501224914699,0.7588705380216527
extra_trees,outer_train_oof,C_environment_only_h4s_relative_lateral_velocity_mean,4.0,relative_lateral_velocity,mean,19404,0.010782773606479168,0.00448498222976923,0.00785780418664217,0.7287404112228704,0.4689426506239417,0.7528673560842817
extra_trees,outer_train_oof,C_environment_only_h4s_relative_lateral_velocity_std,4.0,relative_lateral_velocity,std,19404,0.030081847682595253,0.012419444508850574,0.017352983355522156,0.5768601025496103,0.6672337912223941,0.8146062895871743
extra_trees,outer_train_oof,C_environment_only_h4s_relative_lateral_velocity_min,4.0,relative_lateral_velocity,min,19404,0.1652689427137375,0.08866371959447861,0.1250365972518921,0.756529263872257,0.42761026364417887,0.6115955886305524
